"AGENCY_FUNDING05_MEDICAID_TYPE","Funder #5 Type of Medicaid"
"AGENCY_FUNDING06_0_FUNDER_NAME","Funder #6 Name"
"AGENCY_FUNDING06_1_AMOUNT","Funder #6 $ Amount"
"AGENCY_FUNDING06_1_DF_GRANT_TYPE","Funder #6 Type of Direct Federal Grant"
"AGENCY_FUNDING06_1_END_DATE","Funder #6 End Date"
"AGENCY_FUNDING06_1_FUNDER_TYPE","Funder #6 Type of Funding"
"AGENCY_FUNDING06_1_START_DATE","Funder #6 Start Date"
"AGENCY_FUNDING06_MEDICAID_TYPE","Funder #6 Type of Medicaid"
"AGENCY_FUNDING07_0_FUNDER_NAME","Funder #7 Name"
"AGENCY_FUNDING07_1_AMOUNT","Funder #7 $ Amount"
"AGENCY_FUNDING07_1_DF_GRANT_TYPE","Funder #7 Type of Direct Federal Grant"
"AGENCY_FUNDING07_1_END_DATE","Funder #7 End Date"
"AGENCY_FUNDING07_1_FUNDER_TYPE","Funder #7 Type of Funding"
"AGENCY_FUNDING07_1_START_DATE","Funder #7 Start Date"
"AGENCY_FUNDING07_MEDICAID_TYPE","Funder #7 Type of Medicaid"
"AGENCY_FUNDING08_0_FUNDER_NAME","Funder #8 Name"
"AGENCY_FUNDING08_1_AMOUNT","Funder #8 $ Amount"
"AGENCY_FUNDING08_1_DF_GRANT_TYPE","Funder #8 Type of Direct Federal Grant"
"AGENCY_FUNDING08_1_END_DATE","Funder #8 End Date"
"AGENCY_FUNDING08_1_FUNDER_TYPE","Funder #8 Type of Funding"
"AGENCY_FUNDING08_1_START_DATE","Funder #8 Start Date"
"AGENCY_FUNDING08_MEDICAID_TYPE","Funder #8 Type of Medicaid"
"AGENCY_FUNDING09_0_FUNDER_NAME","Funder #9 Name"
"AGENCY_FUNDING09_1_AMOUNT","Funder #9 $ Amount"
"AGENCY_FUNDING09_1_DF_GRANT_TYPE","Funder #9 Type of Direct Federal Grant"
"AGENCY_FUNDING09_1_END_DATE","Funder #9 End Date"
"AGENCY_FUNDING09_1_FUNDER_TYPE","Funder #9 Type of Funding"
"AGENCY_FUNDING09_1_START_DATE","Funder #9 Start Date"
"AGENCY_FUNDING09_MEDICAID_TYPE","Funder #9 Type of Medicaid"
"AGENCY_FUNDING10_0_FUNDER_NAME","Funder #10 Name"
"AGENCY_FUNDING10_1_AMOUNT","Funder #10 $ Amount"
"AGENCY_FUNDING10_1_DF_GRANT_TYPE","Funder #10 Type of Direct Federal Grant"
"AGENCY_FUNDING10_1_END_DATE","Funder #10 End Date"
"AGENCY_FUNDING10_1_FUNDER_TYPE","Funder #10 Type of Funding"
"AGENCY_FUNDING10_1_START_DATE","Funder #10 Start Date"
"AGENCY_FUNDING10_MEDICAID_TYPE","Funder #10 Type of Medicaid"
"AGENCY_FUNDING11_0_FUNDER_NAME","Funder #11 Name"
"AGENCY_FUNDING11_1_AMOUNT","Funder #11 $ Amount"
"AGENCY_FUNDING11_1_DF_GRANT_TYPE","Funder #11 Type of Direct Federal Grant"
"AGENCY_FUNDING11_1_END_DATE","Funder #11 End Date"
"AGENCY_FUNDING11_1_FUNDER_TYPE","Funder #11 Type of Funding"
"AGENCY_FUNDING11_1_START_DATE","Funder #11 Start Date"
"AGENCY_FUNDING11_MEDICAID_TYPE","Funder #11 Type of Medicaid"
"AGENCY_FUNDING12_0_FUNDER_NAME","Funder #12 Name"
"AGENCY_FUNDING12_1_AMOUNT","Funder #12 $ Amount"
"AGENCY_FUNDING12_1_DF_GRANT_TYPE","Funder #12 Type of Direct Federal Grant"
"AGENCY_FUNDING12_1_END_DATE","Funder #12 End Date"
"AGENCY_FUNDING12_1_FUNDER_TYPE","Funder #12 Type of Funding"
"AGENCY_FUNDING12_1_START_DATE","Funder #12 Start Date"
"AGENCY_FUNDING12_MEDICAID_TYPE","Funder #12 Type of Medicaid"
"AGENCY_FUNDING13_0_FUNDER_NAME","Funder #13 Name"
"AGENCY_FUNDING13_1_AMOUNT","Funder #13 $ Amount"
"AGENCY_FUNDING13_1_DF_GRANT_TYPE","Funder #13 Type of Direct Federal Grant"
"AGENCY_FUNDING13_1_END_DATE","Funder #13 End Date"
"AGENCY_FUNDING13_1_FUNDER_TYPE","Funder #13 Type of Funding"
"AGENCY_FUNDING13_1_START_DATE","Funder #13 Start Date"
"AGENCY_FUNDING13_MEDICAID_TYPE","Funder #13 Type of Medicaid"
"AGENCY_FUNDING14_0_FUNDER_NAME","Funder #14 Name"
"AGENCY_FUNDING14_1_AMOUNT","Funder #14 $ Amount"
"AGENCY_FUNDING14_1_DF_GRANT_TYPE","Funder #14 Type of Direct Federal Grant"
"AGENCY_FUNDING14_1_END_DATE","Funder #14 End Date"
"AGENCY_FUNDING14_1_FUNDER_TYPE","Funder #14 Type of Funding"
"AGENCY_FUNDING14_1_START_DATE","Funder #14 Start Date"
"AGENCY_FUNDING14_MEDICAID_TYPE","Funder #14 Type of Medicaid"
"AGENCY_FUNDING15_0_FUNDER_NAME","Funder #15 Name"
"AGENCY_FUNDING15_1_AMOUNT","Funder #15 $ Amount"
"AGENCY_FUNDING15_1_DF_GRANT_TYPE","Funder #15 Type of Direct Federal Grant"
"AGENCY_FUNDING15_1_END_DATE","Funder #15 End Date"
"AGENCY_FUNDING15_1_FUNDER_TYPE","Funder #15 Type of Funding"
"AGENCY_FUNDING15_1_START_DATE","Funder #15 Start Date"
"AGENCY_FUNDING15_MEDICAID_TYPE","Funder #15 Type of Medicaid"
"AGENCY_FUNDING16_0_FUNDER_NAME","Funder #16 Name"
"AGENCY_FUNDING16_1_AMOUNT","Funder #16 $ Amount"
"AGENCY_FUNDING16_1_DF_GRANT_TYPE","Funder #16 Type of Direct Federal Grant"
"AGENCY_FUNDING16_1_END_DATE","Funder #16 End Date"
"AGENCY_FUNDING16_1_FUNDER_TYPE","Funder #16 Type of Funding"
"AGENCY_FUNDING16_1_START_DATE","Funder #16 Start Date"
"AGENCY_FUNDING16_MEDICAID_TYPE","Funder #16 Type of Medicaid"
"AGENCY_FUNDING17_0_FUNDER_NAME","Funder #17 Name"
"AGENCY_FUNDING17_1_AMOUNT","Funder #17 $ Amount"
"AGENCY_FUNDING17_1_DF_GRANT_TYPE","Funder #17 Type of Direct Federal Grant"
"AGENCY_FUNDING17_1_END_DATE","Funder #17 End Date"
"AGENCY_FUNDING17_1_FUNDER_TYPE","Funder #17 Type of Funding"
"AGENCY_FUNDING17_1_START_DATE","Funder #17 Start Date"
"AGENCY_FUNDING17_MEDICAID_TYPE","Funder #17 Type of Medicaid"
"AGENCY_FUNDING18_0_FUNDER_NAME","Funder #18 Name"
"AGENCY_FUNDING18_1_AMOUNT","Funder #18 $ Amount"
"AGENCY_FUNDING18_1_DF_GRANT_TYPE","Funder #18 Type of Direct Federal Grant"
"AGENCY_FUNDING18_1_END_DATE","Funder #18 End Date"
"AGENCY_FUNDING18_1_FUNDER_TYPE","Funder #18 Type of Funding"
"AGENCY_FUNDING18_1_START_DATE","Funder #18 Start Date"
"AGENCY_FUNDING18_MEDICAID_TYPE","Funder #18 Type of Medicaid"
"AGENCY_FUNDING19_0_FUNDER_NAME","Funder #19 Name"
"AGENCY_FUNDING19_1_AMOUNT","Funder #19 $ Amount"
"AGENCY_FUNDING19_1_DF_GRANT_TYPE","Funder #19 Type of Direct Federal Grant"
"AGENCY_FUNDING19_1_END_DATE","Funder #19 End Date"
"AGENCY_FUNDING19_1_FUNDER_TYPE","Funder #19 Type of Funding"
"AGENCY_FUNDING19_1_START_DATE","Funder #19 Start Date"
"AGENCY_FUNDING19_MEDICAID_TYPE","Funder #19 Type of Medicaid"
"AGENCY_FUNDING20_0_FUNDER_NAME","Funder #20 Name"
"AGENCY_FUNDING20_1_AMOUNT","Funder #20 $ Amount"
"AGENCY_FUNDING20_1_DF_GRANT_TYPE","Funder #20 Type of Direct Federal Grant"
"AGENCY_FUNDING20_1_END_DATE","Funder #20 End Date"
"AGENCY_FUNDING20_1_FUNDER_TYPE","Funder #20 Type of Funding"
"AGENCY_FUNDING20_1_START_DATE","Funder #20 Start Date"
"AGENCY_FUNDING20_MEDICAID_TYPE","Funder #20 Type of Medicaid"
"AGENCY_INFO_1_CONTRACT_CAPACITY_FTE","NSO Contracted Capacity (FTE)"
"AGENCY_INFO_1_FUNDED_CAPACITY_FTE","Current Funded Capacity (FTE)"
"AGENCY_INFO_BOARD_0_MEETING_DATE01","XXX Date of Community Advisory Board Meeting"
"AGENCY_INFO_BOARD_0_MEETING_DATE02","XXX Date of Community Advisory Board Meeting"
"AGENCY_INFO_BOARD_0_MEETING_DATE03","XXX Date of Community Advisory Board Meeting"
"AGENCY_INFO_BOARD_0_MEETING_DATE04","XXX Date of Community Advisory Board Meeting"
"AGENCY_MEETING_0_TYPE","Team Meeting or Case Conference?"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF1","Non-Staff Attendee"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF10","Non-Staff Attendee 10"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF2","Non-Staff Attendee"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF3","Non-Staff Attendee"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF4","Non-Staff Attendee"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF5","Non-Staff Attendee"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF6","Non-Staff Attendee 6"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF7","Non-Staff Attendee 7"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF8","Non-Staff Attendee 8"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF9","Non-Staff Attendee 9"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF_ROLE1","Non-Staff Attendee Role"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF_ROLE10","Non-Staff Attendee Role 10"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF_ROLE2","Non-Staff Attendee Role"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF_ROLE3","Non-Staff Attendee Role"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF_ROLE4","Non-Staff Attendee Role"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF_ROLE5","Non-Staff Attendee Role"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF_ROLE6","Non-Staff Attendee Role 6"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF_ROLE7","Non-Staff Attendee Role 7"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF_ROLE8","Non-Staff Attendee Role 8"
"AGENCY_MEETING_1_ATTENDEES_NONSTAFF_ROLE9","Non-Staff Attendee Role 9"
"AGENCY_MEETING_1_ATTENDEES_STAFF1","Attendee"
"AGENCY_MEETING_1_ATTENDEES_STAFF10","Attendee"
"AGENCY_MEETING_1_ATTENDEES_STAFF11","Attendee 11"
"AGENCY_MEETING_1_ATTENDEES_STAFF12","Attendee 12"
"AGENCY_MEETING_1_ATTENDEES_STAFF13","Attendee 13"
"AGENCY_MEETING_1_ATTENDEES_STAFF14","Attendee 14"
"AGENCY_MEETING_1_ATTENDEES_STAFF15","Attendee 15"
"AGENCY_MEETING_1_ATTENDEES_STAFF16","Attendee 16"
"AGENCY_MEETING_1_ATTENDEES_STAFF17","Attendee 17"
"AGENCY_MEETING_1_ATTENDEES_STAFF18","Attendee 18"
"AGENCY_MEETING_1_ATTENDEES_STAFF19","Attendee 19"
"AGENCY_MEETING_1_ATTENDEES_STAFF2","Attendee"
"AGENCY_MEETING_1_ATTENDEES_STAFF20","Attendee 20"
"AGENCY_MEETING_1_ATTENDEES_STAFF21","Attendee 21"
"AGENCY_MEETING_1_ATTENDEES_STAFF22","Attendee 22"
"AGENCY_MEETING_1_ATTENDEES_STAFF23","Attendee 23"
"AGENCY_MEETING_1_ATTENDEES_STAFF24","Attendee 24"
"AGENCY_MEETING_1_ATTENDEES_STAFF25","Attendee 25"
"AGENCY_MEETING_1_ATTENDEES_STAFF3","Attendee"
"AGENCY_MEETING_1_ATTENDEES_STAFF4","Attendee"
"AGENCY_MEETING_1_ATTENDEES_STAFF5","Attendee"
"AGENCY_MEETING_1_ATTENDEES_STAFF6","Attendee"
"AGENCY_MEETING_1_ATTENDEES_STAFF7","Attendee"
"AGENCY_MEETING_1_ATTENDEES_STAFF8","Attendee"
"AGENCY_MEETING_1_ATTENDEES_STAFF9","Attendee"
"AGENCY_MEETING_1_LENGTH","Time Spent in Minutes"
"AGENCY_RESEARCH01_0_PROJECT_NAME","Name of Project"
"AGENCY_RESEARCH01_1_APPROVAL","Has this project been approved by RAPCOMM?"
"AGENCY_RESEARCH01_1_END_DATE","Research End Date"
"AGENCY_RESEARCH01_1_PI1","Principle Investigator"
"AGENCY_RESEARCH01_1_PROJECT_DESCRIPTION","Brief description"
"AGENCY_RESEARCH01_1_START_DATE","Research Start Date"
"AGENCY_RESEARCH_0_INVOLVEMENT","Is your program currently involved in Research?"
"CAB_MTG_DATE","Community Advisory Board meeting date:"
"challenges","What are program challenges?"
"CLIENT_0_ID_AGENCY","Client ID"
"Client_0_ID_NSO","Case Number"
"CLIENT_0_ID_NSO","Client Case Number:"
"CLIENT_ABUSE_AFRAID_0_PARTNER","13. Are you afraid of your partner, ex-partner, boyfriend or ex-boyfriend?"
"CLIENT_ABUSE_EMOTION_0_PHYSICAL_PARTNER","1. Since you have been enrolled in this program, have you been emotionally or physically abused by your partner, ex-partner, boyfriend or ex-boyfriend?"
"CLIENT_ABUSE_FORCED_0_SEX","9. Within the last year, has your partner, ex-partner, boyfriend or ex-boyfriend forced you to have sexual relations?"
"CLIENT_ABUSE_FORCED_1_SEX_LAST_YR","10. How many times were you forced to have sexual relations since you began this program?"
"CLIENT_ABUSE_HIT_0_SLAP_LAST_TIME","2. Since the birth of your baby, have you been hit, slapped, kicked or otherwise physically hurt by your partner, ex-partner, boyfriend or ex-boyfriend?"
"CLIENT_ABUSE_HIT_0_SLAP_PARTNER","2. Within the last year, have you been hit, slapped, kicked or otherwise physically hurt by your partner, ex-partner, boyfriend or ex-boyfriend?"
"CLIENT_ABUSE_TIMES_0_ABUSE_WEAPON_PARTNER","8. Since the birth of your baby, how many times did your partner, ex-partner, boyfriend or ex-boyfriend use a weapon to hurt you? (Weapon is client's perception)"
"CLIENT_ABUSE_TIMES_0_BURN_BRUISE_PARTNER","6. Since the birth of your baby, how many times did your partner, ex-partner, boyfriend or ex-boyfriend do something that burned you, severely"
"","bruised you, or broke a bone?"
"CLIENT_ABUSE_TIMES_0_HEAD_PERM_INJURY_PARTNER","7. Since the birth of your baby, how many times did your partner, ex-partner, boyfriend or ex-boyfriend cause you to have a head, internal, or"
"","permanent injury?"
"CLIENT_ABUSE_TIMES_0_HURT_LAST_YR","3. How many times were you physically hurt since you began this program? (Temporary or lasting injuries)"
"CLIENT_ABUSE_TIMES_0_HURT_SINCE_LAST_TIME","12. How many times were you physically hurt while pregnant? (Temporary or lasting injuries)"
"CLIENT_ABUSE_TIMES_0_PUNCH_KICK_PARTNER","5. Since the birth of your baby, how many times did your partner, ex-partner, boyfriend or ex-boyfriend punch, kick or cut you?"
"CLIENT_ABUSE_TIMES_0_SLAP_PUSH_PARTNER","4. Since the birth of your baby, how many times did your partner, ex-partner, boyfriend or ex-boyfriend slap or push you?"
"CLIENT_ACTIVITY_DURATION","Duration of caregiving activity (minutes):"
"CLIENT_ALT_0_COMMENTS_ALT","Comments:"
"CLIENT_ALTERNATIVE_ENCOUNTER_0_TYPE_ALT","Type of Encounter"
"CLIENT_ALTERNATIVE_ENCOUNTER_1_TYPE_OTHER_ALT","Specify other type of encounter"
"CLIENT_ATTENDEES_0_AT_VISIT","Who was present at the visit?"
"CLIENT_ATTENDEES_0_OTHER_VISIT_DESC","Specify relationship of other person present"
"CLIENT_BC_0_USED_6MONTHS","18. In the last 6 months, have you been using any form of birth control to prevent another pregnancy?"
"CLIENT_BC_1_FREQUENCY","19. Thinking about all the times you've had sexual intercourse in the last six months, about how often did you use birth control?"
"CLIENT_BC_1_NOT_USED_REASON","If no, do any of the following apply? (check all that apply)"
"CLIENT_BC_1_TYPES","20. Please tell me all the different types of birth control you have used in the last six months. Mark all that apply."
"CLIENT_BC_1_TYPES_NEXT6","21. Please tell me all the different types of birth control you plan to use in the next six months. Mark all that apply."
"CLIENT_BIO_DAD_0_CONTACT_WITH","8. How often do you usually see or talk to the baby’s biological father?"
"CLIENT_BIO_DAD_1_TIME_WITH","3. During the past three months, how often did the baby's biological father spend time taking care of and/or playing with the baby?"
"CLIENT_CAC_COMMENTS","Caregiver's Affect Complements Child's Affect (CA) - Comments"
"CLIENT_CAC_NA","Not observed/NA (CAC)"
"CLIENT_CAC_PER","Caregiver's Affect Complements Child's Affect %"
"CLIENT_CARE_0_ URGENT_OTHER","Other (please specify)"
"CLIENT_CARE_0_ER","24. In the past 6 months, have you (client) obtained care at the hospital emergency room for any reason?"
"CLIENT_CARE_0_ER_FEVER_TIMES","Fever, how many times?"
"CLIENT_CARE_0_ER_HOSP","xxx. 19. In the past 6 months, have you (client) obtained care at the hospital emergency room/urgent"
"","care center for any reason?"
"CLIENT_CARE_0_ER_INFECTION_TIMES","Respiratory infection, how many times?"
"CLIENT_CARE_0_ER_INGESTION_ACCIDENT_TIMES","Ingestion - Accidental, how many times (ER)?"
"CLIENT_CARE_0_ER_INGESTION_DECLINE_TIMES","Ingestion - Declined, how many times (ER)?"
"CLIENT_CARE_0_ER_INGESTION_INTENT_OTHER_TIMES","Ingestion - Intentional other inflicted, how many times (ER)?"
"CLIENT_CARE_0_ER_INGESTION_SELF_TIMES","Ingestion - Intentional self inflicted, how many times (ER)?"
"CLIENT_CARE_0_ER_INGESTION_TIMES","XXX Ingestion, how many times?"
"CLIENT_CARE_0_ER_INJURY_ACCIDENT_TIMES","Injury - Accidental, how many times (ER)?"
"CLIENT_CARE_0_ER_INJURY_DECLINE_TIMES","Injury - Declined how many times (ER)?"
"CLIENT_CARE_0_ER_INJURY_INTENT_OTHER_TIMES","Injury - Intentional other inflicted, how many times (ER)?"
"CLIENT_CARE_0_ER_INJURY_SELF_TIMES","Injury - Intentional self inflicted, how many times (ER)?"
"CLIENT_CARE_0_ER_INJURY_TIMES","XXX Injury, how many times?"
"CLIENT_CARE_0_ER_OTHER","Other (please specify):"
"CLIENT_CARE_0_ER_OTHER_TIMES","Other, how many times?"
"CLIENT_CARE_0_ER_PURPOSE","XXX 24a. If yes, what was the purpose of the visit (please check all that apply)?"
"CLIENT_CARE_0_ER_PURPOSE_R6","24a. If yes, what was the purpose of the visit (please check all that apply)?"
"CLIENT_CARE_0_ER_TIMES","XXX. If yes ER, how many times?"
"CLIENT_CARE_0_URGENT","25. In the past 6 months, have you (client) obtained care at the urgent care center for any reason?"
"CLIENT_CARE_0_URGENT_FEVER_TIMES","Fever - how many times?"
"CLIENT_CARE_0_URGENT_INFECTION_TIMES","Respiratory infection - how many times?"
"CLIENT_CARE_0_URGENT_INGESTION_ACCIDENT_TIMES","Ingestion - Accidental, how many times (UC)?"
"CLIENT_CARE_0_URGENT_INGESTION_DECLINE_TIMES","Ingestion - Declined, how many times (UC)?"
"CLIENT_CARE_0_URGENT_INGESTION_INTENT_OTHER_TIMES","Ingestion - Intentional other inflicted, how many times (UC)?"
"CLIENT_CARE_0_URGENT_INGESTION_SELF_TIMES","Ingestion - Intentional self inflicted, how many times (UC)?"
"CLIENT_CARE_0_URGENT_INGESTION_TIMES","XXX Ingestion - how many times?"
"CLIENT_CARE_0_URGENT_INJURY_ACCIDENT_TIMES","Injury - Accidental, how many times (UC)?"
"CLIENT_CARE_0_URGENT_INJURY_DECLINE_TIMES","Injury - Declined how many times (UC)?"
"CLIENT_CARE_0_URGENT_INJURY_INTENT_OTHER_TIMES","Injury - Intentional other inflicted, how many times (UC)?"
"CLIENT_CARE_0_URGENT_INJURY_SELF_TIMES","Injury - Intentional self inflicted, how many times (UC)?"
"CLIENT_CARE_0_URGENT_INJURY_TIMES","XXX Injury - how many times?"
"CLIENT_CARE_0_URGENT_OTHER","Other (please specify)"
"CLIENT_CARE_0_URGENT_OTHER_TIMES","Other - how many times?"
"CLIENT_CARE_0_URGENT_PURPOSE","XXX 25a. If yes, what was the purpose of the visit (please check all that apply)?"
"CLIENT_CARE_0_URGENT_PURPOSE_R6","25a. If yes, what was the purpose of the visit (please check all that apply)?"
"CLIENT_CARE_0_URGENT_TIMES","XXX. If yes urgent care, how many times?"
"CLIENT_CAREGIVING_FRIENDS_FAM","5. Friends/family support goals"
"CLIENT_CAREGIVING_RISK_LEVEL","5. Risk Level:"
"CLIENT_CAREGIVING_SERVICES_GOALS","5. Uses services to meet goals"
"CLIENT_CAREGIVING_STAGE_CHANGE","5. Stage of Change"
"CLIENT_CAREGIVING_UNDERSTANDS_RISK","5. Understands Risk/Needs"
"CLIENT_CHILD_AGE","Child's age at assessment (months):"
"CLIENT_CHILD_DEVELOPMENT_CONCERN","1. Do you have any concerns regarding your child's development, behavior or learning?"
"CLIENT_CHILD_DURATION","Duration of time child was present (minutes):"
"CLIENT_CHILD_INJURY_0_PREVENTION","XXX. 1. Parental education provided regarding prevention of child injuries including topics such as safe sleeping, shaken baby syndrome or traumatic brain injury, child passenger safety, poisonings, fire safety (including scalds), water safety, playground safety, etc."
"CLIENT_CHLD_CARE_FRIENDS_FAM","7. Friends/family support goals"
"CLIENT_CHLD_CARE_RISK_LEVEL","7. Risk Level"
"CLIENT_CHLD_CARE_SERVICES_GOALS","7. Uses services to meet goals"
"CLIENT_CHLD_CARE_STAGE_CHANGE","7. Stage of Change"
"CLIENT_CHLD_CARE_UNDERSTANDS_RISK","7. Understands Risk/Needs"
"CLIENT_CHLD_HEALTH_FRIENDS_FAM","6. Friends/family support goals"
"CLIENT_CHLD_HEALTH_RISK_LEVEL","6. Risk Level"
"CLIENT_CHLD_HEALTH_SERVICES_GOALS","6. Uses services to meet goals"
"CLIENT_CHLD_HEALTH_STAGE_CHANGE","6. Stage of Change"
"CLIENT_CHLD_HEALTH_UNDERSTANDS_RISK","6. Understands Risk/Needs"
"CLIENT_CHLD_WELL_FRIENDS_FAM","20. Friends/family support goals"
"CLIENT_CHLD_WELL_RISK_LEVEL","20. Risk Level"
"CLIENT_CHLD_WELL_SERVICES_GOALS","20. Uses services to meet goals"
"CLIENT_CHLD_WELL_STAGE_CHANGE","20. Stage of Change"
"CLIENT_CHLD_WELL_UNDERSTANDS_RISK","20. Understands Risk/Needs"
"CLIENT_CI_COMMENTS","Completes Interactions (P) - Comments"
"CLIENT_CI_NA","Not observed/NA (CI)"
"CLIENT_CI_PER","Completes Interactions %"
"CLIENT_COMM_SVCS_FRIENDS_FAM","21. Friends/family support goals"
"CLIENT_COMM_SVCS_RISK_LEVEL","21. Risk Level"
"CLIENT_COMM_SVCS_SERVICES_GOALS","21. Uses services to meet goals"
"CLIENT_COMM_SVCS_STAGE_CHANGE","21. Stage of Change"
"CLIENT_COMM_SVCS_UNDERSTANDS_RISK","21. Understands Risk/Needs"
"CLIENT_COMPLETE_0_VISIT","Visit"
"CLIENT_COMPLICATION_ILL_FRIENDS_FAM","2. Friends/family support goals"
"CLIENT_COMPLICATION_ILL_RISK_LEVEL","2. Risk Level:"
"CLIENT_COMPLICATION_ILL_SERVICES_GOALS","2. Uses services to meet goals"
